latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,time_iso8601,interval_seconds,wind_speed_10m_km/h,wind_direction_10m_°,temperature_2m_°C,wind_gusts_10m_km/h,relative_humidity_2m_%,rain_mm,location_id
48.5,-2.0,0.09500980377197266,0,GMT,GMT,31.0,2025-07-09T19:00,900,11.2,360,19.2,21.6,69,0.0,
49.0,-1.0000002,0.07855892181396484,0,GMT,GMT,108.0,2025-07-09T19:00,900,11.4,18,20.2,25.6,55,0.0,1.0
49.5,-2.3841858e-07,0.06794929504394531,0,GMT,GMT,0.0,2025-07-09T19:00,900,16.4,26,18.9,23.8,71,0.0,2.0
50.0,-2.5,0.05710124969482422,0,GMT,GMT,0.0,2025-07-09T19:00,900,10.0,257,17.0,11.9,90,0.0,3.0
50.5,-1.5,0.062465667724609375,0,GMT,GMT,0.0,2025-07-09T19:00,900,15.3,255,17.0,19.4,87,0.0,4.0
51.0,-0.50000024,0.061392784118652344,0,GMT,GMT,15.0,2025-07-09T19:00,900,11.7,223,21.2,26.3,49,0.0,5.0
48.5,-2.0,0.08356571197509766,0,GMT,GMT,31.0,2025-07-09T21:30,900,5.2,326,14.9,9.7,96,0.0,
49.0,-1.0000002,0.06091594696044922,0,GMT,GMT,108.0,2025-07-09T21:30,900,2.9,60,15.8,13.0,71,0.0,1.0
49.5,-2.3841858e-07,0.04863739013671875,0,GMT,GMT,0.0,2025-07-09T21:30,900,1.9,68,19.7,12.2,62,0.0,2.0
50.0,-2.5,0.6889104843139648,0,GMT,GMT,0.0,2025-07-09T21:30,900,9.1,277,17.0,11.9,91,0.0,3.0
50.5,-1.5,0.05054473876953125,0,GMT,GMT,0.0,2025-07-09T21:30,900,10.9,264,17.6,17.3,86,0.0,4.0
51.0,-0.50000024,0.04673004150390625,0,GMT,GMT,15.0,2025-07-09T21:30,900,4.1,218,16.9,10.1,69,0.0,5.0
48.5,-2.0,0.07224082946777344,0,GMT,GMT,31.0,2025-07-09T22:30,900,4.7,337,14.1,8.3,97,0.0,
49.0,-1.0000002,0.07092952728271484,0,GMT,GMT,108.0,2025-07-09T22:30,900,2.7,113,14.4,8.3,75,0.0,1.0
49.5,-2.3841858e-07,0.07903575897216797,0,GMT,GMT,0.0,2025-07-09T22:30,900,5.0,120,19.5,7.6,63,0.0,2.0
50.0,-2.5,1.2888908386230469,0,GMT,GMT,0.0,2025-07-09T22:30,900,5.4,270,17.0,7.6,92,0.0,3.0
50.5,-1.5,0.042438507080078125,0,GMT,GMT,0.0,2025-07-09T22:30,900,9.4,270,17.9,15.5,85,0.0,4.0
51.0,-0.50000024,0.038623809814453125,0,GMT,GMT,15.0,2025-07-09T22:30,900,4.5,209,15.9,7.6,75,0.0,5.0
48.5,-2.0,0.07081031799316406,0,GMT,GMT,31.0,2025-07-09T22:45,900,3.3,311,13.9,4.7,95,0.0,
49.0,-1.0000002,0.04982948303222656,0,GMT,GMT,108.0,2025-07-09T22:45,900,2.9,120,13.9,8.3,77,0.0,1.0
49.5,-2.3841858e-07,0.06973743438720703,0,GMT,GMT,0.0,2025-07-09T22:45,900,4.7,113,19.4,7.6,63,0.0,2.0
50.0,-2.5,0.06639957427978516,0,GMT,GMT,0.0,2025-07-09T22:45,900,7.0,215,17.0,7.9,92,0.0,3.0
50.5,-1.5,0.08392333984375,0,GMT,GMT,0.0,2025-07-09T22:45,900,8.6,270,18.0,15.5,86,0.0,4.0
51.0,-0.50000024,0.07450580596923828,0,GMT,GMT,15.0,2025-07-09T22:45,900,4.0,207,15.8,7.6,76,0.0,5.0
48.5,-2.0,0.07557868957519531,0,GMT,GMT,31.0,2025-07-09T23:00,900,3.9,304,13.9,5.4,95,0.0,
49.0,-1.0000002,0.07128715515136719,0,GMT,GMT,108.0,2025-07-09T23:00,900,2.9,120,13.5,5.4,79,0.0,1.0
49.5,-2.3841858e-07,0.03528594970703125,0,GMT,GMT,0.0,2025-07-09T23:00,900,4.6,108,19.4,7.2,63,0.0,2.0
50.0,-2.5,0.6281137466430664,0,GMT,GMT,0.0,2025-07-09T23:00,900,7.4,219,17.0,9.0,92,0.0,3.0
50.5,-1.5,0.06508827209472656,0,GMT,GMT,0.0,2025-07-09T23:00,900,8.3,270,18.0,13.7,86,0.0,4.0
51.0,-0.50000024,0.06127357482910156,0,GMT,GMT,15.0,2025-07-09T23:00,900,4.0,207,15.6,7.2,76,0.0,5.0
48.5,-2.0,3.3521652221679688,0,GMT,GMT,31.0,2025-07-09T23:15,900,4.3,312,13.8,6.1,94,0.0,
49.0,-1.0000002,0.04601478576660156,0,GMT,GMT,108.0,2025-07-09T23:15,900,2.6,124,13.2,5.4,80,0.0,1.0
49.5,-2.3841858e-07,0.040411949157714844,0,GMT,GMT,0.0,2025-07-09T23:15,900,2.9,83,19.4,7.2,64,0.0,2.0
50.0,-2.5,0.06759166717529297,0,GMT,GMT,0.0,2025-07-09T23:15,900,7.9,227,17.0,9.4,93,0.0,3.0
50.5,-1.5,0.041365623474121094,0,GMT,GMT,0.0,2025-07-09T23:15,900,7.6,270,18.0,13.7,86,0.0,4.0
51.0,-0.50000024,0.03647804260253906,0,GMT,GMT,15.0,2025-07-09T23:15,900,3.2,207,15.6,7.2,77,0.0,5.0
