time_iso8601,temperature_2m_°C,wind_speed_10m_km/h,rain_mm,snowfall_cm,relative_humidity_2m_%,dew_point_2m_°C,apparent_temperature_°C,precipitation_mm,wind_direction_10m_°,wind_gusts_10m_km/h,cloud_cover_low_%,cloud_cover_mid_%,cloud_cover_high_%,latitude,longitude,elevation,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation
2025-06-22T00:00,25.7,12.7,0.0,0.0,43,12.2,24.5,0.0,195,30.2,0,24,100,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T01:00,24.4,7.7,0.0,0.0,50,13.3,24.4,0.0,229,26.3,0,32,99,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T02:00,22.8,13.0,0.0,0.0,59,14.4,22.4,0.0,241,29.5,0,10,100,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T03:00,20.4,13.0,0.0,0.0,72,15.2,20.2,0.0,264,33.1,0,0,100,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T04:00,18.7,12.6,0.0,0.0,74,13.9,18.1,0.0,256,30.6,1,1,100,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T05:00,17.6,13.8,0.0,0.0,73,12.7,16.4,0.0,264,33.5,0,0,37,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T06:00,17.9,11.9,0.0,0.0,73,13.0,17.1,0.0,266,33.1,21,0,0,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T07:00,18.9,14.1,0.0,0.0,69,13.1,17.8,0.0,260,35.3,38,0,3,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T08:00,20.3,12.8,0.0,0.0,61,12.6,19.2,0.0,253,37.1,6,0,0,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T09:00,21.9,13.8,0.0,0.0,53,11.8,20.8,0.0,244,36.7,3,0,0,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T10:00,23.2,15.3,0.0,0.0,46,10.8,22.2,0.0,242,41.0,2,0,0,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
2025-06-22T11:00,25.0,19.7,0.0,0.0,39,10.1,23.5,0.0,242,49.0,27,5,5,51.493847,-0.1630249,29.0,0.3751516342163086,0,GMT,GMT
